city_name,city_code,province_code
东城,1,11
西城,2,11
崇文,3,11
宣武,4,11
丰台,6,11
石景山,7,11
海淀,8,11
门头沟,9,11
房山,11,11
通州,12,11
顺义,13,11
昌平,14,11
大兴,15,11
怀柔,16,11
平谷,17,11
密云,28,11
延庆,29,11
和平区,1,12
河东区,2,12
河西区,3,12
南开区,4,12
河北区,5,12
红桥区,6,12
塘沽区,7,12
汉沽区,8,12
大港区,9,12
东丽区,10,12
西青区,11,12
津南区,12,12
北辰区,13,12
武清区,14,12
宝坻区,15,12
宁河县,21,12
静海县,23,12
蓟县,25,12
滨海新区,26,12
保税区,27,12
石家庄,1,13
唐山,2,13
秦皇岛,3,13
邯郸,4,13
邢台,5,13
保定,6,13
张家口,7,13
承德,8,13
沧州,9,13
廊坊,10,13
衡水,11,13
太原,1,14
大同,2,14
阳泉,3,14
长治,4,14
晋城,5,14
朔州,6,14
晋中,7,14
运城,8,14
忻州,9,14
临汾,10,14
吕梁,23,14
呼和浩特,1,15
包头,2,15
乌海,3,15
赤峰,4,15
通辽,5,15
鄂尔多斯,6,15
呼伦贝尔,7,15
兴安盟,22,15
锡林郭勒盟,25,15
乌兰察布,26,15
巴彦淖尔盟,28,15
阿拉善盟,29,15
沈阳,1,21
大连,2,21
鞍山,3,21
抚顺,4,21
本溪,5,21
丹东,6,21
锦州,7,21
营口,8,21
阜新,9,21
辽阳,10,21
盘锦,11,21
铁岭,12,21
朝阳,13,21
葫芦岛,14,21
长春,1,22
吉林,2,22
四平,3,22
辽源,4,22
通化,5,22
白山,6,22
松原,7,22
白城,8,22
延边朝鲜族自治州,24,22
哈尔滨,1,23
齐齐哈尔,2,23
鸡西,3,23
鹤岗,4,23
双鸭山,5,23
大庆,6,23
伊春,7,23
佳木斯,8,23
七台河,9,23
牡丹江,10,23
黑河,11,23
绥化,12,23
大兴安岭,27,23
黄浦区,1,31
卢湾区,3,31
徐汇区,4,31
长宁区,5,31
静安区,6,31
普陀区,7,31
闸北区,8,31
虹口区,9,31
杨浦区,10,31
闵行区,12,31
宝山区,13,31
嘉定区,14,31
浦东新区,15,31
金山区,16,31
松江区,17,31
青浦区,18,31
南汇区,19,31
奉贤区,20,31
崇明区,30,31
南京,1,32
无锡,2,32
徐州,3,32
常州,4,32
苏州,5,32
南通,6,32
连云港,7,32
淮安,8,32
盐城,9,32
扬州,10,32
镇江,11,32
泰州,12,32
宿迁,13,32
杭州,1,33
宁波,2,33
温州,3,33
嘉兴,4,33
湖州,5,33
绍兴,6,33
金华,7,33
衢州,8,33
舟山,9,33
台州,10,33
丽水,11,33
合肥,1,34
芜湖,2,34
蚌埠,3,34
淮南,4,34
马鞍山,5,34
淮北,6,34
铜陵,7,34
安庆,8,34
黄山,10,34
滁州,11,34
阜阳,12,34
宿州,13,34
巢湖,14,34
六安,15,34
亳州,16,34
池州,17,34
宣城,18,34
福州,1,35
厦门,2,35
莆田,3,35
三明,4,35
泉州,5,35
漳州,6,35
南平,7,35
龙岩,8,35
宁德,9,35
南昌,1,36
景德镇,2,36
萍乡,3,36
九江,4,36
新余,5,36
鹰潭,6,36
赣州,7,36
吉安,8,36
宜春,9,36
抚州,10,36
上饶,11,36
济南,1,37
青岛,2,37
淄博,3,37
枣庄,4,37
东营,5,37
烟台,6,37
潍坊,7,37
济宁,8,37
泰安,9,37
威海,10,37
日照,11,37
莱芜,12,37
临沂,13,37
德州,14,37
聊城,15,37
滨州,16,37
菏泽,17,37
郑州,1,41
开封,2,41
洛阳,3,41
平顶山,4,41
安阳,5,41
鹤壁,6,41
新乡,7,41
焦作,8,41
濮阳,9,41
许昌,10,41
漯河,11,41
三门峡,12,41
南阳,13,41
商丘,14,41
信阳,15,41
周口,16,41
驻马店,17,41
济源,18,41
武汉,1,42
黄石,2,42
十堰,3,42
宜昌,5,42
襄阳,6,42
鄂州,7,42
荆门,8,42
孝感,9,42
荆州,10,42
黄冈,11,42
咸宁,12,42
